Fecha,Estacion_mm,IMERG_v6B_mm,CR2MET_v2_mm,RFMEP_v2_mm,ERA5_mm,CHIRPS_v2_mm,TMPA-3B42v7_mm
1979-05-16,-9999,-9999,7.18,-9999,-9999,-9999,-9999
1979-05-17,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-18,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-19,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-20,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-21,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-22,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-23,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-24,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-25,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-26,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-27,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-28,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-29,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-30,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-05-31,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-01,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-02,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-03,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-08,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-11,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-12,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-13,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-14,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-15,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-16,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-17,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-18,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-19,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-20,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-21,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-22,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-23,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-24,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-25,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-26,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-27,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-28,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-29,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-06-30,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-01,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-02,-9999,-9999,0,-9999,-9999,-9999,-9999
